place_id,nome,bairro,endereco,tipo,rating,price_level,tem_website,lat,lng
ChIJlcgT85TdrAcRmgw8iah6v2Q,Quintal Di Casa Restaurantes,Manaíra,"Av. Umbuzeiro, 592 - Manaíra, João Pessoa - PB, 58038-180, Brazil",restaurant,4.7,,False,-7.1047584,-34.8326492
ChIJx3-sY0zdrAcRaSxgNCCCclM,Casa de Nara,Manaíra,"Av. João Maurício, 761 C - Manaíra, João Pessoa - PB, 58038-000, Brazil",restaurant,4.8,2,True,-7.1054335,-34.829136
ChIJt6ttj8rdrAcRglIk0hoPyYk,Santa Grelha João Pessoa,Manaíra,"R. Manoel Arruda Cavalcante, 805 - Manaíra, João Pessoa - PB, 58037-000, Brazil",steak_house,4.7,2,True,-7.0993039,-34.8444194
ChIJ4c2JZBXdrAcRQ3Djk6x7rq4,Quintal Restô | Restaurante Contemporâneo,Manaíra,"Av. Eutiquiano Barreto, 863 - Manaíra, João Pessoa - PB, 58038-311, Brazil",restaurant,4.7,3,True,-7.1069928,-34.8384258
ChIJvW30jSbdrAcROE2_8JClrmE,Arc Restaurante,Manaíra,"Av. João Maurício, 975 - Manaíra, João Pessoa - PB, 58038-000, Brazil",restaurant,4.6,,True,-7.1037364,-34.8304
ChIJQ3ocKRfdrAcRoTiNLHZAONo,Mangai JP Praia,Manaíra,"Av. Gen. Edson Ramalho, 696 - Manaíra, João Pessoa - PB, 58038-100, Brazil",restaurant,4.7,3,True,-7.103013,-34.8319842
ChIJczoLJbbdrAcRK1eSzI-ZCUc,Tasquinha do Matinha,Manaíra,"Av. Ingá, 400 - Manaíra, João Pessoa - PB, 58038-250, Brazil",restaurant,4.6,2,False,-7.1065494,-34.8325229
ChIJ92mchBjdrAcR4Bm7erNb8uo,Restaurante Maré Alta,Manaíra,"Av. João Maurício, 305 - Manaíra, João Pessoa - PB, 58038-000, Brazil",buffet_restaurant,4.6,1,True,-7.1081812,-34.826006
ChIJpds7GV7drAcRIGdkfcf2sKY,Limone & Capperi Trattoria - Restaurante Italiano em João Pessoa,Manaíra,"Av. Ingá, 284 - Manaíra, João Pessoa - PB, 58038-251, Brazil",italian_restaurant,4.5,,True,-7.1059963,-34.8317091
ChIJAQBMXRbdrAcRpaZDPHgjFRM,Pé de Fruta Manaira,Manaíra,"Av. Manoel Morais, 175 - Manaíra, João Pessoa - PB, 58038-231, Brazil",restaurant,4.5,2,True,-7.106406,-34.8299059
ChIJqwHlZCHdrAcRPQZ2tKGBwNA,Villa Tambaú Choperia & Café,Tambaú,"Av. Alm. Tamandaré, 199 - Tambaú, João Pessoa - PB, 58039-010, Brazil",restaurant,4.6,1,False,-7.1116941,-34.8234462
ChIJiYqugyHdrAcRLDjYclj9upo,Buongustaio Ristorante,Tambaú,"Av. Alm. Tamandaré, 440 - Tambaú, João Pessoa - PB, 58039-010, Brazil",italian_restaurant,4.4,2,False,-7.1137757,-34.8226026
ChIJ2_eMYSbdrAcRfxf80QFlvtg,Giramundo Tambaú,Tambaú,"Av. Alm. Tamandaré, 564 - Tambaú, João Pessoa - PB, 58039-010, Brazil",bar,4.6,2,True,-7.1156217,-34.8227199
ChIJB_1qIgDdrAcRPJkGHDpk3Yk,Matuto Teimoso - Culinária Regional,Cabo Branco,"Av. Pres. Epitácio Pessoa, 108 - Cabo Branco, João Pessoa - PB, 58040-000, Brazil",restaurant,4.5,,True,-7.1196464,-34.8239096
ChIJoRJInu7drAcRfH_BaoyqRwY,ORAMA rooftop,Cabo Branco,"Av. Cabo Branco, 1148 - Cabo Branco, João Pessoa - PB, 58045-010, Brazil",restaurant,4.5,,True,-7.1200429,-34.8240427
ChIJa4696yPdrAcR7EzrD7u74Xk,Famiglia Muccini Italian Restaurant,Tambaú,"R. Nossa Sra. dos Navegantes, 140 - Tambaú, João Pessoa - PB, 58039-110, Brazil",italian_restaurant,4.6,2,True,-7.1137952,-34.8247494
ChIJDa6DUyPdrAcRGsfuaU6xfuM,Tábua de Carne - João Pessoa,Tambaú,"Av. Profa. Maria Sales, 261 - Tambaú, João Pessoa - PB, 58039-130, Brazil",barbecue_restaurant,4.5,2,True,-7.1128735,-34.8254223
ChIJj-5ZiWLdrAcRm8eTgmz-bkU,Peixada e Restaurante da Rainha,Tambaú,"Av. Olinda, 88 - Tambaú, João Pessoa - PB, 58039-120, Brazil",restaurant,3.7,2,False,-7.1121812,-34.8240828
ChIJrXkqqRTdrAcRZkem-WvJLlI,All Garden Restaurante Tambaú,Tambaú,"Av. Infante Dom Henrique, 531 - Tambaú, João Pessoa - PB, 58039-151, Brazil",italian_restaurant,4.7,2,True,-7.1163702,-34.8267265
ChIJ4zsW753drAcR9XudiGBB9YY,Havana Gastrobar,Tambaú,"R. Nossa Sra. dos Navegantes, 1053 - Tambaú, João Pessoa - PB, 58039-111, Brazil",restaurant,4.9,,False,-7.1185496,-34.8253465
ChIJCbNMPNTCrAcR7VonoRRaU_M,Restaurante Olho de Lula,Cabo Branco,"Av. Cabo Branco, 2300 - Cabo Branco, João Pessoa - PB, 58045-010, Brazil",seafood_restaurant,4.5,2,True,-7.130144,-34.8225747
